Account Number,Category,Subcategory1,Subcategory2,FY20 ACTUALS,FY21 ACTUALS,FY22 ACTUALS,FY23 ACTUALS,FY24 ACTUALS,FY25 BUDGET,FY26 BUDGET
010-000-4245-00,Local Receipts,Charges for Services,Sewer Indirect Charges,40640.95,61105.85,72043.06,70002.1,203939,208018,208018
010-000-4246-00,Local Receipts,Charges for Services,Safer Grant Indirect Charges,0,34124.02,28765.92,16192.88,0,0,0
010-000-4247-00,Local Receipts,Charges for Services,Recreation Indirect Charges,9723.08,8280.56,11402.84,11656.03,13865.04,15000,15000
010-000-4320-00,Local Receipts,Fees,Fees-Other ,1950,2137.5,1825,750,2657.5,2650,2650
010-000-4321-00,Local Receipts,Fees,Municipal Liens,19675,26576,19400,11750,11150,11150,11150
010-000-4320-01,Local Receipts,Fees,Collector Charges,30749,60847.88,58019.87,55029.9,53253,53250,53250
010-000-4321-01,Local Receipts,Fees,Town Clerk,8072.34,8917.64,8032.4,9100.83,8734,8725,8725
010-000-4320-02,Local Receipts,Fees,Police,325,279.7,375,485,2349.3,2325,2325
010-000-4370-00,Local Receipts,Other Departmental Revenue,Trailer Charges,0,5388,0,8100,4140,4140,4140
010-000-4361-00,Local Receipts,Other Departmental Revenue,Cell Tower Lease,21890.2,22547.36,23223.7,23920.4,24638,24600,24600
010-000-4371-00,Local Receipts,Other Departmental Revenue,RMV Non Renewal Surcharge,6060,5750,4480,4368,9260,8000,8000
010-000-4372-00,Local Receipts,Other Departmental Revenue,Police Off-Duty Admin,5362.6,13859.6,6825,6202,6855.75,6850,6850
010-000-4360-00,Local Receipts,Other Departmental Revenue,Wachusett Lease Maintenance,73119.7,74582.08,76073.72,77595.16,79147.03,79145,79145
010-000-4373-00,Local Receipts,Other Departmental Revenue,DPW Non Refundable Deposits,900,2500,1600,2060,4000,3000,3000
010-000-4374-00,Local Receipts,Other Departmental Revenue,BOH Tipping & Other Fees,15602.62,15498.37,14027.33,13196.36,32971.76,34000,34000
010-000-4375-00,Local Receipts,Other Departmental Revenue,Sales of Inventory and Scrap,1424.54,3051.25,0,759.11,0,1800,1800
010-000-4376-00,Local Receipts,Other Departmental Revenue,Miscellaneous Departmental,54056.55,2248.51,2579.37,9797.35,10868,465,465
010-000-4410-00,Local Receipts,Licenses and Permits,Alcohol Licenses,8320,9270,9550,9550,10320,10620,10620
010-000-4420-00,Local Receipts,Licenses and Permits,Selectboard Licenses,6299,18172.46,5439.46,5882,3811.32,4240,4240
010-000-4421-00,Local Receipts,Licenses and Permits,Dog Licenses,19525,17152,20659,23294,24626.5,24650,24650
010-000-4422-00,Local Receipts,Licenses and Permits,Police Gun Permits,5462.5,6968.75,4900,7375,6887.5,6890,6890
010-000-4423-00,Local Receipts,Licenses and Permits,Fire Inspections & Permits,18450,21925,19470,16980.5,15610.06,15630,15630
010-000-4450-00,Local Receipts,Licenses and Permits,Building Permits,83009.07,137723.54,130728.96,160746.85,151355.79,151355,151355
010-000-4451-00,Local Receipts,Licenses and Permits,Gas Storage Permits,13550,15400,16550,13750,9400,9400,9400
010-000-4452-00,Local Receipts,Licenses and Permits,Plumbing Permits,18524.12,16790,19346,15089,16790,16790,16790
010-000-4453-00,Local Receipts,Licenses and Permits,Electrical Permits,33954.5,36434.5,40870,49839.5,46025,46025,46025
010-000-4454-00,Local Receipts,Licenses and Permits,Board of Health Permits,9689.7,6780,8138.95,8855,870,0,0
010-000-4770-00,Local Receipts,Fines,Court Fines,29394.8,18016.23,10512.61,6483.86,13324.65,13400,13400
010-000-4771-00,Local Receipts,Fines,Library Fines,0,0,0,0,351,300,300
010-000-4772-00,Local Receipts,Fines,Parking Fines,0,0,0,0,235,200,200
010-000-4820-00,Local Receipts,Investment Income,,11881.87,4378.01,6022.75,63607.3,169394.52,180000,180000
010-000-4840-00,Local Receipts,Miscellaneous - Recurring,Debt Premiums Voke Adj,2485.28,2421.97,2346.09,2267.58,2187,2106,2106
010-000-4841-00,Local Receipts,Miscellaneous - Recurring,WRSD Retired Teacher Health Ins,0,0,0,0,17736.48,18228,18228
010-000-4842-00,Local Receipts,Miscellaneous - Non-Recurring,ARPA Funding,0,0,0,0,43878,358494,0
010-000-4660-00,State Aid,Unrestricted General Government Aid,,982309,982309,1016720.51,1071591,1105882,1139058,1164117
010-000-4661-00,State Aid,Veterans Benefits,,2179,19678.12,32632,3898,1558.18,2324,0
010-000-4610-00,State Aid,Exemptions Veterans & Elderly,,7530,7530,57763,9070,34057,26217,42505
010-000-4611-00,State Aid,State Owned Land,,57978,60304,70063,89933,110800,113579,113579
010-000-4680-00,State Aid,Misc State Revenue,,0,0,16271.05,5406.58,4863.47,0,0
010-000-4970-00,Transfers In,Cable Access Transfer,,0,75252.98,94714.36,69048.15,122777.71,160000,111000
010-000-4971-00,Transfers In,Capital Stabilization Fund Transfer,,0,40000,0,0,0,120000,0
010-000-4972-00,Transfers In,Tax Foreclosure Sale of Property,,0,54264.38,0,0,0,0,0
010-000-4973-00,Transfers In,Special Revenue Fund(s) Transfer,,0,8930.25,74539.96,0,105418,0,130000
010-000-4974-00,Transfers In,Free Cash,,,,,,252698,250000,733194
