Account Number,Description,FY21 ACTUALS,FY22 ACTUALS,FY23 ACTUALS,FY24 BUDGET,FY24 ACTUALS,FY25 BUDGET
010-171-5700-00-0000,CONSERVATION OTHER CHARGES,105,474,0,500,#N/A,500
010-241-5110-00-0000,BUILDING INSPECTOR SALARY,44222.4,45139.85,47155.68,53460.11,47425.56,66000
010-241-5120-00-0000,BUILDING INSPECTOR ALTERNATES,1500,1310.47,0,2500,1540,2500
010-241-5130-00-0000,BUILDING INSPECTOR CLERICAL,18679.9,19052.96,20583.94,22344.73,22775.57,23320.872
010-242-5110-00-0000,GAS INSPECTOR SALARY,3570.23,3601.09,3459.3,3928.05,4088.5,4186
010-242-5120-00-0000,GAS INSPECTOR ALT WAGES,900,900,900,900,900,900
010-243-5110-00-0000,PLUMBING INSPECTOR SALARY,17810.4,18088.1,18772,19640.25,20442.5,20932
010-243-5120-00-0000,PLUMBING INSPECTOR ALTERNATES,900,900,900,900,900,900
010-245-5110-00-0000,ELECTRICAL INSP SALARY,31729.62,32376.33,32992,33654.91,33525.71,34329
010-245-5120-00-0000,ELECTRICAL INSP ALTERNATE,375,1000,567.88,2000,350,2000
010-241-5200-00-0000,BUILDING INSPEC PURCHASED SERV,6029.89,1331.63,2687,2700,2500,2700
010-245-5200-00-0000,ELECTRICAL INSP PURCHASED SERV,0,0,0,773,0,773
010-241-5400-00-0000,BUILDING INSPECTOR SUPPLIES,1086.53,858.19,927.3,1045,577.19,1045
010-243-5400-00-0000,PLUMBING INSPECTOR SUPPLIES,0,0,0,238,175.01,238
010-245-5400-00-0000,ELECTRICAL INSP SUPPLIES,220.85,413.93,49.99,515,328.85,515
010-241-5700-00-0000,BUILDING INSPECTOR OTHER CHGS,2266,2300,2500,2400,2066,3500
010-242-5700-00-0000,GAS INSPECTOR OTHER,0,350,0,350,350,350
010-243-5700-00-0000,PLUMBING INSPECTOR OTHER CHGS,1699.5,1500,1600,1600,1600,1600
010-245-5700-00-0000,ELECTRICAL INSP OTHER CHGS,2958,2425,3306.09,3000,2969.49,3000
010-241-5800-00-0000,BUILDING INSPECTOR-CAPITAL OUT,0,0,0,1045,0,0
010-510-5100-00-0000,BOARD OF HEALTH WAGES,750,750,750,750,750,750
010-510-5110-00-0000,HEALTH CLERICAL WAGES,18066.96,20125.47,21834.14,23659.13,23568.49,24692.688
010-510-5120-00-0000,HEALTH ANIMAL INSPECTOR,550,550,550,550,550,550
010-510-5200-00-0000, HEALTH PURCHASED SVC,7810.23,7960,6059,16360,6530.55,16360
010-510-5400-00-0000,BOARD OF HEALTH SUPPLIES,85.05,0,57.53,1000,146.43,1000
010-510-5700-00-0000,BOARD OF HEALTH OTHER CHARGES,0,0,0,103,0,103
010-510-5750-00-0000,BOARD OF HEALTH RABIES CONTROL,198.3,130,0,1159,507,1159
010-300-5600-00-0000,WACHUSETT ASSESSMENT,13164392,13645388,14068152,15411321,15318955.2,16450000
010-300-5603-00-0000,BAY PATH ASSESSMENT,559304,676106,751553,650442,589214,790635
010-131-5120-00-0000,FINANCE COMM SECRETARY WAGES,1055.27,1307.42,811.82,1503.75,874.69,1500
010-176-5120-00-0000,ZBA CLERICAL,603.01,1687.64,446.67,1924,219.98,2000
010-176-5200-00-0000,ZBA PURCHASED SERVICES,1352.95,3763.71,128.64,700,139.36,500
010-179-5200-00-0000,AGRICULTURAL COMM PURCH SVC,250,0,0,250,0,250
010-182-5200-00-0000,DEV & IND COMM PURCH SVC,0,0,24.58,0,#N/A,100
010-691-5200-00-0000,HISTORICAL COMM PURCH SVC,0,0,0,250,0,250
010-182-5400-00-0000,DEV & IND COMM SUPPLIES,912.88,0,0,100,0,100
010-131-5700-00-0000,FINANCE COMM OTHER CHARGES,0,180,184,200,190,200
010-132-5700-00-0000,FINANCE COMM RESERVE FUND,180,0,0,35000,0,30000
010-911-5100-00-0000,WORCESTER REG RETIREMENT ASSESSMENT,684053,775974,850288,1048684,1052471.76,1148987
010-914-5100-00-0000,HEALTH INSURANCE,763053.77,730872.2,886920.38,978295.04,952547.47,969374
010-915-5100-00-0000,LIFE INSURANCE,3288,3379.2,3290.4,3456,2762.4,3430
010-916-5100-00-0000,MEDICARE,72183.9,77465.22,83882.55,82441,94744.45,99164
010-945-5740-00-0000,LIABILITY INSURANCE,278241,312452,277504,318507,318244,366283
010-710-5900-00-0000,RETIREMENT OF DEBT PRINCIPAL,321468,395675,341176,349157,872100,318238
010-710-5900-01-0000,RETIREMENT OF EXCLUDED DEBT PRINCIPAL,580000,547710,525000,525000,525000,350000
010-751-5900-00-0000,INTEREST ON LONG TERM DEBT,224447.44,114770.09,150031.34,135222.49,157053.34,122869.33
010-751-5900-01-0000,EXCLUDED DEBT INTEREST,77119,53860,38589,21830,21830,10832
010-992-5960-04-0000,TRANSFERS TO TRUST,72782.05,204485.8,191366,7000,7000,17000
010-992-5960-05-0000,TRANSFER TO ACCRUED LIABILITY TRUST,0,0,0,0,0,7500
010-210-5110-00-0000,POLICE CHIEF SALARY,108000,115000,125000,131000,131000,137000
010-210-5111-00-0000,POLICE CLERICAL WAGES,56576,57915.6,60170.29,65548.95,65545.02,67373.824
010-210-5112-00-0000,POLICE CHIEF HOLIDAY WAGES,3738.24,3966,4326.48,6046.08,6046.08,6693
010-210-5115-00-0000,POLICE LIEUTENTANT SALARY,0,0,0,105000,70900.72,115697
010-210-5120-00-0000,POLICE FULLTIME WAGES,866300.6,909431.01,959811.25,1108378.73,1090363.4,1180127
010-210-5125-00-0000,POLICE WAGES OVERTIME,61058.03,69141.18,73320.03,101193.76,101180.11,119897
010-210-5140-00-0000,CONSTABLES WAGES,150,0,150,150,150,150
010-292-5110-00-0000,ANIMAL CONTROL OFFICER WAGES,43076.88,44265,46277.4,56424.32,55993.6,73000
010-292-5120-00-0000,ANIMAL CONTROL ASST WAGES,1069.04,309.88,1338.78,4064.32,0,29000
010-293-5110-00-0000,TRAFFIC CONTROL WAGES,130,0,0,130,130,130
010-210-5200-00-0000,POLICE PURCHASED SERVICES,12079.65,7041.68,12082.44,33652,39795.76,33652
010-292-5200-00-0000,ANIMAL CONTROL PURCH SERV,69.1,0,1234,1360,403.22,2100
010-210-5400-00-0000,POLICE SUPPLIES,33629.45,17798.93,24937.13,47340,54731.52,47340
010-292-5400-00-0000,ANIMAL CONTROL SUPPLIES,923.52,564.7,1262.06,1333,600.23,2000
010-210-5700-00-0000,POLICE OTHER CHARGES,9011.86,5035.61,7402,9045,8552.85,9045
010-292-5700-00-0000,ANIMAL CONTROL OTHER CHARGE,701.22,218.28,1285.22,1333,279.16,2000
010-210-5850-00-0000,POLICE CRUISER LEASE,45759.86,45759.86,8813.9,49605,46655.8,44006
010-292-5850-00-0000,ANIMAL CONTROL VEHICLE LEASE,0,0,7288,7288,7288,7288
010-220-5110-00-0000,FIRE CHIEF SALARY,108000,115000,126500,137550,137550,143850
010-220-5112-00-0000,FIRE CHIEF HOLIDAY WAGES,3724.12,3966,4311,6046.08,6046.08,6299
010-220-5115-00-0000,FIRE DEPUTY CHIEF SALARY,0,0,0,98450,43780,110706
010-220-5120-00-0000,FIRE FULL/PART-TIME WAGES,720049,802164.8,918423.09,1042194,1023955.37,1159115
010-220-5125-00-0000,FIRE OVERTIME SHIFT COVERAGE,55638.02,62356,62491.05,100307,99027.58,109368
010-220-5140-00-0000,FIRE CLERICAL WAGES,14144,14426.88,15325.52,15500,16386.24,16843.456
010-220-5200-00-0000,FIRE PURCHASED SERVICES,76541.37,92541.14,125361.32,97750,97782.72,109750
010-220-5400-00-0000,FIRE SUPPLIES,39937.4,37884.14,38991.61,52600,52597.52,52600
010-220-5700-00-0000,FIRE OTHER CHARGES,24402.41,28691.83,30238.67,31000,31000,31900
010-220-5850-00-0000,FIRE ADDITIONAL EQUIPMENT,37991.77,22480.07,26970.11,31500,31582.65,31500
010-299-5110-00-0000,DISPATCH DIRECTOR SALARY,85000,90000,92000,94000,94000,96000
010-299-5120-00-0000,DISPATCH WAGES,303007.39,306915.46,263306.13,366070.68,382806.07,394691
010-299-5200-00-0000,DISPATCH PURCHASED SERVICES,145479.75,175939.11,172826.61,189172.16,174730.16,190677.78
010-299-5400-00-0000,DISPATCH SUPPLIES,7000,7000,6684.23,7000,4706.61,8000
010-421-5110-00-0000,DIRECTOR SALARY,109014.48,110160,103666.22,114600,103211.2,112605.84
010-421-5120-00-0000,HIGHWAY CLERICAL WAGES,25247.04,41807.04,25716.34,24959.17,24887.72,25957.5368
010-421-5130-00-0000,HIGHWAY WAGES,507215.97,432668.67,472917.87,713726.05,431216.73,749491
010-421-5140-00-0000,HIGHWAY OT and STANDBY,90771.41,29924.65,25031.86,73700,26182.51,75174
010-421-5200-00-0000,HIGHWAY PURCHASED SERVICES,7920.89,3447.97,2396.56,22500,14944.47,23000
010-421-5400-00-0000,HIGHWAY SUPPLIES,1840.66,1999.76,1947.63,5775,3922.13,5890
010-421-5700-00-0000,HIGHWAY OTHER CHARGES,125,536.08,250,1210,280,1234
010-423-5140-00-0000,SNOW & ICE OVERTIME,0,22948,71493.31,50000,70201.34,51000
010-422-5200-00-0000,C/M PURCHASED SERVICES,21256.81,11251.63,21669.14,30778,26234.99,31394
010-423-5200-00-0000,SNOW & ICE PURCHASED SERVICES,0,19100,39942.51,25000,20890,25500
010-429-5200-00-0000,TOWN GARAGE PURCH SERVICES,33761.22,33739.96,35000,48000,48022.54,48960
010-430-5200-00-0000,MACHINERY/MAINT PURCH SERV,4101.91,6366.13,5471.72,7700,6586.89,8000
010-433-5200-00-0000,WASTE DISPOSAL PURCHASED SVC,6442.95,7306.85,16388.04,8800,19472.3,20000
010-294-5200-00-0000,FORESTRY PURCHASED SERVICES,0,0,0,5000,5000,2500
010-491-5200-00-0000,CEMETERY PURCHASED SERVICES,0,0,0,100,100,100
010-422-5530-00-0000,C/M SUPPLIES,31314.62,26317.13,29999.19,36525.72,42674.47,36526
010-422-5532-00-0000,C/M GRAVEL,7362.02,667.75,3302.09,8085,5449.1,8085
010-422-5536-00-0000,C/M STREET SIGNS,2435,1944,865.1,2310,2221.25,2310
010-422-5542-00-0000,STORM WATER MANAGEMENT,1000,4000,4924,39100,39009.13,666
010-423-5400-00-0000,SNOW & ICE SUPPLIES,235909.64,150365.05,279125.08,200000,188678.54,200000
010-423-5530-00-0000,SNOW & ICE MACH & MAINT SUPPLIES,0,10005,48403.76,25000,23330.46,25000
010-423-5533-00-0000,SNOW & ICE PLOW BLADES & CHAINS,7398.95,6600,12000,10000,9950.18,10000
010-423-5535-00-0000,SNOW & ICE FUEL,0,500,17000,2000,2000,2000
010-429-5400-00-0000,TOWN GARAGE SUPPLIES,1068.35,1228.07,1286.13,2000,1050.97,2000
010-430-5400-00-0000,MACHINERY/MAINT SUPPLIES,68955.87,49747.19,57995.87,57200,60172.39,57200
010-431-5400-00-0000,TOWN VEHICLE FUEL,72604.68,80000,98000,100000,100000,108000
010-294-5400-00-0000,FORESTRY SUPPLIES,0,0,0,200,200,200
010-491-5400-00-0000,CEMETERY SUPPLIES,0,0,0,200,200,200
010-650-5400-00-0000,PARKS SUPPLIES,0,0,0,1500,1500,1500
010-652-5700-00-0000,WACHUSETT GREENWAYS PURCH SERV,0,100,100,1250,1250,1000
010-424-5200-00-0000,STREET LIGHTS PURCHASED SVC,40730.26,39255.67,37580.28,44000,38867.38,44880
010-192-5230-00-0000,TOWN BUILDINGS ELECTRICITY,0,0,0,0,0,50000
010-192-5200-00-0000,COMMUNITY HALL PURCH SERVICES,12600.16,15649.6,17500,18987.5,17827.12,19368
010-192-5202-00-0000,COMMUNITY CENTER PURCH SERVICES,13122.16,21825.57,21500,23327.5,21780,23795
010-192-5203-00-0000,TOWN CLOCK PURCH SERVICES,0,0,0,108.5,108.5,120
010-192-5204-00-0000,ANNEX PURCH SERVICES,11101.91,11000,10999.64,11935,10592.64,12174
010-192-5205-00-0000,PUBLIC SAFETY BLDG PURCH SVC,47459.45,51348.01,49000,57800,56593.56,58956
010-192-5210-00-0000,WOODHOUSE PURCH SERVICES,1159.87,1184.01,1200,1302,1269.86,3500
010-192-5400-00-0000,COMMUNITY HALL SUPPLIES,956.78,2583.01,432.87,1953,1947.9,1992
010-192-5402-00-0000,COMMUNITY CENTER SUPPLIES,953.18,1237.59,1479.46,1627.5,1077.9,1660
010-192-5404-00-0000,ANNEX SUPPLIES,379.5,1218.84,723.65,1627.5,807.63,1660
010-192-5405-00-0000,PUBLIC SAFETY BLDG SUPPLIES,22637.27,26836.1,23345,35500,35459.71,36210
010-192-5410-00-0000,WOODHOUSE SUPPLIES,205.98,124.38,72.49,271.25,267.51,271
010-610-5110-00-0000,DIRECTOR SALARY,73880.05,75650.05,78609,81323.72,81323.72,83891.25
010-610-5120-00-0000,ASST DIRECTOR SALARY,33920.12,34730.12,36087,36872.68,36872.68,38514.05
010-610-5130-00-0000,CHILDRENS LIBRARIAN SALARY,32830.53,33612.12,35082,61374.77,58510.4,59910.15
010-610-5140-00-0000,AIDES WAGES,20400,21225,26701,25000,25000,25625
010-610-5200-00-0000,LIBRARY PURCHASED SERVICES,29605.7,41483.1,29986.87,35000,37291.85,35000
010-610-5400-00-0000,LIBRARY SUPPLIES,4736.06,4965.91,4637.83,6000,6000,6000
010-610-5700-00-0000,LIBRARY OTHER CHARGES,46570.93,46550.31,48347,55961.14,49774.02,59976
010-541-5110-00-0000,DIRECTOR SALARY,33920.12,34730.12,36087,65919.2,65919.2,66980.95
010-541-5120-00-0000,OUTREACH COORDINATOR SALARY,14430.24,17364.73,18674,21262,20124,22033.15
010-541-5200-00-0000,COUNCIL ON AGING PURCHASED SVC,4457.05,5670.65,6582.67,8811,9933.41,8811
010-541-5400-00-0000,COUNCIL ON AGING SUPPLIES,1043.86,1652.56,1775.26,2133,1537.12,2133
010-541-5700-00-0000,COUNCIL ON AGING OTHER CHARGES,272.16,272.16,327.84,360,360,533
010-543-5110-00-0000,VETERANS AGENT SALARY,3360,3415,3447.3,3553.06,3553.16,3600
010-543-5400-00-0000,VETERANS SERVICES SUPPLIES,0,418.89,948.06,650,1244.85,5000
010-543-5700-00-0000,VETERANS SERVICES OTHER CHARGE,0,35,80,500,35,500
010-543-5770-00-0000,VETERANS BENEFITS,29452.35,5361.74,2571.87,10000,4542.06,6000
